index;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east
783;0,045053637;0,254875417;0,302857776;0,165768624
784;0,006936909;0,028015157;0,095524122;0,023853015
785;0;0;0;0
786;0;0;0;0
787;0;0;0;0
788;0;0;0;0
789;0;0;0;0
790;0;0;0;0
791;0;0;0;0
792;0;0;0;0
793;0;0;0;0
794;0;0;0;0
795;0;0;0;0
796;0;0;0;0
797;0;0;0;0
798;0;0;0;0
799;0;0;0;0
800;0,093582829;0,076523858;0,001976448;0,012622642
801;0,114368499;0,270074289;0,029461314;0,08506442
802;0,180401881;0,394499842;0,058789954;0,198595934
803;0,374333724;0,514677869;0,079672903;0,267146289
804;0,260447526;0,563656855;0,077164358;0,254035303
805;0,187324579;0,44040154;0,061414559;0,218615171
806;0,037687406;0,359597408;0,042561466;0,194211158
807;0,009179449;0,193934491;0,023883667;0,080164836
808;0,001493148;0,044551013;0,00622737;0,003206309
809;0;0;0;0
810;0;0;0;0
811;0;0;0;0
812;0;0;0;0
813;0;0;0;0
814;0;0;0;0
815;0;0;0;0
816;0;0;0;0
817;0;0;0;0
818;0;0;0;0
819;0;0;0;0
820;0;0;0;0
821;0;0;0;0
822;0;0;0;0
823;0;0;0;0
824;0,0112362;0,038825352;0,07644394;0
825;0,132930237;0,198010816;0,219234;0,015172506
826;0,12704775;0,36055575;0,535472448;0,038871849
827;0,119781446;0,279335053;0,500871;0,050073375
828;0,132735198;0,220464434;0,144331137;0,048436248
829;0,117565701;0,145143079;0,022677866;0,041497658
830;0,112859953;0,077918751;0,011263337;0,033434582
831;0,098654337;0,066747083;0,005685016;0,019794099
832;0,04704304;0,003610951;0,000568632;0,00486166
833;5,48E-05;0;0;0
834;0;0;0;0
835;0;0;0;0
836;0;0;0;0
837;0;0;0;0
838;0;0;0;0
839;0;0;0;0
840;0;0;0;0
841;0;0;0;0
842;0;0;0;0
843;0;0;0;0
844;0;0;0;0
845;0;0;0;0
846;0;0;0;0
847;0;0;0;0
848;0,115470833;0,009269191;0,127710885;0,115852243
849;0,215507542;0,022569438;0,34720879;0,238239513
850;0,509069882;0,032005015;0,503062185;0,312217263
851;0,444755013;0,016872672;0,565246066;0,34658996
852;0,140271186;0,016163403;0,350567803;0,384535974
853;0,037253262;0,363425961;0,317627803;0,167524461
854;0,040460578;0,326741684;0,069572747;0,256320636
855;0,055017746;0,258172066;0,029436272;0,229819105
856;0,006904031;0,033821603;0,014120834;0,081938467
857;0;3,60E-05;6,27E-05;0
858;0;0;0;0
859;0;0;0;0
860;0;0;0;0
861;0;0;0;0
862;0;0;0;0
863;0;0;0;0
864;0;0;0;0
865;0;0;0;0
866;0;0;0;0
867;0;0;0;0
